FL_DATE,AIRLINE,FL_NUMBER,ORIGIN,DEST,CRS_DEP_TIME,Optimized_CRS_DEP_TIME
2023-08-31,American Airlines Inc.,1295,JAX,MIA,1910,2022
2023-08-31,Allegiant Air,441,LAS,DSM,1053,1022
2023-08-31,Southwest Airlines Co.,4970,DEN,MSP,2030,2035
2023-08-31,JetBlue Airways,1159,BOS,PHL,1017,1127
2023-08-31,Southwest Airlines Co.,2954,ATL,DEN,1620,1604
2023-08-31,Southwest Airlines Co.,1111,PBI,ATL,1700,1535
2023-08-31,Spirit Air Lines,3159,CLE,MIA,1809,1814
2023-08-31,United Air Lines Inc.,1148,DEN,IAH,1325,1207
2023-08-31,Alaska Airlines Inc.,1114,SEA,SJC,1120,1238
2023-08-31,United Air Lines Inc.,1759,IAH,CVG,2010,2013
2023-08-31,Republic Airline,5608,BOS,DCA,910,838
2023-08-31,United Air Lines Inc.,786,ORD,BTV,1045,1301
2023-08-31,American Airlines Inc.,2784,DCA,ORD,1629,1602
2023-08-31,Delta Air Lines Inc.,711,SEA,FAI,2151,2359
2023-08-31,Southwest Airlines Co.,2442,ECP,BNA,1710,1533
2023-08-31,American Airlines Inc.,1384,ORD,LAX,1820,1830
2023-08-31,Southwest Airlines Co.,4006,DEN,RDU,1855,1804
2023-08-31,JetBlue Airways,2054,SJU,FLL,1712,1719
2023-08-31,United Air Lines Inc.,630,BUF,ORD,1741,1832
2023-08-31,Delta Air Lines Inc.,2897,MSP,PHL,1035,1233
2023-08-31,Delta Air Lines Inc.,2135,FAI,SEA,137,150
2023-08-31,American Airlines Inc.,640,PHX,CLT,2259,2307
2023-08-31,Frontier Airlines Inc.,2427,CLE,SAN,1909,1903
2023-08-31,Southwest Airlines Co.,775,MCO,MDW,1645,1504
2023-08-31,American Airlines Inc.,1032,JFK,MIA,657,822
2023-08-31,American Airlines Inc.,843,DFW,SDF,1854,1933
2023-08-31,Delta Air Lines Inc.,2346,ORD,BOS,2025,2051
2023-08-31,Southwest Airlines Co.,3283,BUR,LAS,1900,1902
2023-08-31,Spirit Air Lines,2123,LAS,OAK,2120,2107
2023-08-31,United Air Lines Inc.,1701,TVC,ORD,1151,1112
2023-08-31,Southwest Airlines Co.,1071,LAS,MCI,2105,2201
2023-08-31,JetBlue Airways,2626,FLL,RDU,2059,2122
2023-08-31,Southwest Airlines Co.,1519,MCO,BWI,2030,2107
2023-08-31,American Airlines Inc.,1806,TPA,PHL,700,851
2023-08-31,Alaska Airlines Inc.,535,AUS,SFO,1530,1309
2023-08-31,JetBlue Airways,1134,SJU,MCO,2025,1839
2023-08-31,Allegiant Air,11,LAS,FAT,1351,1310
2023-08-31,Southwest Airlines Co.,1252,LAS,ORD,1150,1042
2023-08-31,SkyWest Airlines Inc.,3859,SLC,OAK,1550,1516
2023-08-31,Southwest Airlines Co.,2966,LAS,MKE,1845,1804
2023-08-31,Delta Air Lines Inc.,2724,DAY,ATL,600,518
2023-08-31,PSA Airlines Inc.,5462,CLT,LFT,1301,1428
2023-08-31,Delta Air Lines Inc.,1710,JFK,SAT,1030,821
2023-08-31,Delta Air Lines Inc.,1402,BWI,MSP,1142,1251
2023-08-31,American Airlines Inc.,2495,MIA,MCO,1400,1221
2023-08-31,Frontier Airlines Inc.,457,ATL,DEN,2229,2214
2023-08-31,Delta Air Lines Inc.,1689,SEA,PHX,1505,1612
2023-08-31,Frontier Airlines Inc.,2347,PHL,PBI,1734,1847
2023-08-31,SkyWest Airlines Inc.,4157,SJC,LAX,1325,1244
2023-08-31,Envoy Air,3538,AUS,MEM,2048,2025
2023-08-31,American Airlines Inc.,2283,PWM,CLT,1229,1330
2023-08-31,American Airlines Inc.,2918,CLT,SJU,1915,1831
2023-08-31,American Airlines Inc.,638,ABQ,PHX,1905,1820
2023-08-31,Spirit Air Lines,2044,MHT,MCO,700,601
2023-08-31,Southwest Airlines Co.,1417,LAX,OAK,2045,2120
2023-08-31,SkyWest Airlines Inc.,3824,SLC,LGB,2044,2021
